county,precinct,office,district,candidate,party,votes,early_voting,election_day,mail
San Benito,5135101,Registered Voters,,,,30,,,
San Benito,5135103,Registered Voters,,,,1,,,
San Benito,5145001,Registered Voters,,,,587,,,
San Benito,5145004,Registered Voters,,,,6,,,
San Benito,5185003,Registered Voters,,,,19,,,
San Benito,5235214,Registered Voters,,,,150,,,
San Benito,5235322,Registered Voters,,,,209,,,
San Benito,5280002,Registered Voters,,,,62,,,
San Benito,5280007,Registered Voters,,,,170,,,
San Benito,5335111,Registered Voters,,,,419,,,
San Benito,5335159,Registered Voters,,,,77,,,
San Benito,5335213,Registered Voters,,,,1885,,,
San Benito,5335262,Registered Voters,,,,364,,,
San Benito,5335330,Registered Voters,,,,1153,,,
San Benito,5335348,Registered Voters,,,,698,,,
San Benito,5395002,Registered Voters,,,,26,,,
San Benito,5530011,Registered Voters,,,,13,,,
San Benito,5535105,Registered Voters,,,,1127,,,
San Benito,5535154,Registered Voters,,,,329,,,
San Benito,5535212,Registered Voters,,,,1802,,,
San Benito,5535228,Registered Voters,,,,757,,,
San Benito,5585001,Registered Voters,,,,200,,,
San Benito,5585002,Registered Voters,,,,13,,,
San Benito,6135425,Registered Voters,,,,1022,,,
San Benito,6220003,Registered Voters,,,,28,,,
San Benito,6235426,Registered Voters,,,,1278,,,
San Benito,6235463,Registered Voters,,,,0,,,
San Benito,6280001,Registered Voters,,,,143,,,
San Benito,6410000,Registered Voters,,,,67,,,
San Benito,6420002,Registered Voters,,,,1349,,,
San Benito,6435438,Registered Voters,,,,1497,,,
San Benito,6435458,Registered Voters,,,,1076,,,
San Benito,6458001,Registered Voters,,,,1680,,,
San Benito,6475001,Registered Voters,,,,2089,,,
San Benito,6480005,Registered Voters,,,,40,,,
San Benito,7130001,Registered Voters,,,,1881,,,
San Benito,7130002,Registered Voters,,,,1866,,,
San Benito,7130018,Registered Voters,,,,47,,,
San Benito,7135106,Registered Voters,,,,298,,,
San Benito,7135109,Registered Voters,,,,1537,,,
San Benito,7135317,Registered Voters,,,,63,,,
San Benito,7135318,Registered Voters,,,,243,,,
San Benito,7135423,Registered Voters,,,,755,,,
San Benito,7235320,Registered Voters,,,,440,,,
San Benito,7235321,Registered Voters,,,,673,,,
San Benito,7335315,Registered Voters,,,,533,,,
San Benito,7335316,Registered Voters,,,,1278,,,
San Benito,7335319,Registered Voters,,,,41,,,
San Benito,7535136,Registered Voters,,,,1639,,,
San Benito,9205001,Registered Voters,,,,811,,,
San Benito,9235255,Registered Voters,,,,0,,,
San Benito,9240001,Registered Voters,,,,1698,,,
