county,precinct,office,district,party,candidate,votes,election_day,mail
Placer,160601,Registered Voters,,,,1068,,
Placer,160601,Ballots Cast,,,,891,74,817
Placer,160601,President,,DEM,Joseph R. Biden,424,11,413
Placer,160601,President,,REP,Donald J. Trump,422,60,362
Placer,160601,President,,PFP,GLORIA LA RIVA / SUNIL FREEMAN,0,0,0
Placer,160601,President,,AIP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA / KANYE OMARI WEST",3,0,3
Placer,160601,President,,GRN,HOWIE HAWKINS / ANGELA NICOLE WALKER,1,0,1
Placer,160601,President,,LIB,"JO JORGENSEN / JEREMY ""SPIKE"" COHEN",18,2,16
Placer,160601,President,,,Write-ins,1,1,0
Placer,160601,President,,,BRIAN CARROLL / AMAR PATEL,1,1,0
Placer,160601,President,,,MARK CHARLES / ADRIAN WALLACE,0,0,0
Placer,160601,President,,,JOSEPH KISHORE / NORISSA SANTA CRUZ,0,0,0
Placer,160601,President,,,BROCK PIERCE / KARLA BALLARD,0,0,0
Placer,160601,President,,,JESSE VENTURA / CYNTHIA MCKINNEY,0,0,0
Placer,160601,U.S. House,4,REP,TOM MCCLINTOCK,431,57,374
Placer,160601,U.S. House,4,DEM,BRYNNE S. KENNEDY,421,14,407
Placer,160601,State Assembly,6,DEM,JACKIE SMITH,389,14,375
Placer,160601,State Assembly,6,REP,KEVIN KILEY,438,55,383
Placer,160601,PLACER COUNTY BOARD OF EDUCATION GOVERNING BOARD MEMBER TRUSTEE AREA 1,,,RENE AGUILERA,233,19,214
Placer,160601,PLACER COUNTY BOARD OF EDUCATION GOVERNING BOARD MEMBER TRUSTEE AREA 1,,,SUSAN GOTO,498,40,458
Placer,160601,PLACER COUNTY BOARD OF EDUCATION GOVERNING BOARD MEMBER TRUSTEE AREA 1,,,Write-in,0,0,0
Placer,160601,Proposition 14,,,YES,391,17,374
Placer,160601,Proposition 14,,,NO,448,54,394
Placer,160601,Proposition 17,,,YES,387,19,368
Placer,160601,Proposition 17,,,NO,479,52,427
Placer,160601,Proposition 18,,,YES,261,8,253
Placer,160601,Proposition 18,,,NO,601,64,537
Placer,160601,Proposition 19,,,YES,402,22,380
Placer,160601,Proposition 19,,,NO,432,46,386
Placer,160601,Proposition 20,,,YES,385,35,350
Placer,160601,Proposition 20,,,NO,455,34,421
Placer,160601,Proposition 21,,,YES,326,22,304
Placer,160601,Proposition 21,,,NO,523,47,476
Placer,160601,Proposition 22,,,YES,580,50,530
Placer,160601,Proposition 22,,,NO,277,21,256
Placer,160601,Proposition 23,,,YES,265,19,246
Placer,160601,Proposition 23,,,NO,585,52,533
Placer,160601,Proposition 24,,,YES,418,25,393
Placer,160601,Proposition 24,,,NO,420,44,376
Placer,160601,Proposition 25,,,YES,299,10,289
Placer,160601,Proposition 25,,,NO,539,58,481
Placer,160601,Measure F,,,YES,495,30,465
Placer,160601,Measure F,,,NO,226,29,197
Placer,160601,Measure G,,,YES,320,18,302
Placer,160601,Measure G,,,NO,410,40,370
Placer,160601,Measure H,,,YES,469,22,447
Placer,160601,Measure H,,,NO,246,35,211
Placer,160601,Measure I,,,YES,680,45,635
Placer,160601,Measure I,,,NO,83,17,66
Placer,160601,Measure J,,,YES,478,25,453
Placer,160601,Measure J,,,NO,207,29,178
Placer,160601,Measure K,,,YES,462,21,441
Placer,160601,Measure K,,,NO,240,33,207
Placer,160601,Measure L,,,YES,510,27,483
Placer,160601,Measure L,,,NO,175,26,149
Placer,160601,Measure M,,,YES,518,26,492
Placer,160601,Measure M,,,NO,180,28,152
Placer,160601,Measure N,,,YES,548,32,516
Placer,160601,Measure N,,,NO,141,20,121
Placer,160601,Measure O,,,YES,431,19,412
Placer,160601,Measure O,,,NO,257,33,224
Placer,160601,Measure P,,,YES,420,25,395
Placer,160601,Measure P,,,NO,262,27,235
Placer,160601,Measure Q,,,YES,408,16,392
Placer,160601,Measure Q,,,NO,278,36,242
Placer,160601,Measure R,,,YES,385,19,366
Placer,160601,Measure R,,,NO,276,35,241
Placer,160603,Registered Voters,,,,5904,,
Placer,160603,Ballots Cast,,,,4701,495,4206
Placer,160603,President,,DEM,Joseph R. Biden,2249,139,2110
Placer,160603,President,,REP,Donald J. Trump,2227,344,1883
Placer,160603,President,,PFP,GLORIA LA RIVA / SUNIL FREEMAN,11,3,8
Placer,160603,President,,AIP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA / KANYE OMARI WEST",16,1,15
Placer,160603,President,,GRN,HOWIE HAWKINS / ANGELA NICOLE WALKER,21,0,21
Placer,160603,President,,LIB,"JO JORGENSEN / JEREMY ""SPIKE"" COHEN",99,7,92
Placer,160603,President,,,Write-ins,1,0,1
Placer,160603,President,,,BRIAN CARROLL / AMAR PATEL,0,0,0
Placer,160603,President,,,MARK CHARLES / ADRIAN WALLACE,0,0,0
Placer,160603,President,,,JOSEPH KISHORE / NORISSA SANTA CRUZ,0,0,0
Placer,160603,President,,,BROCK PIERCE / KARLA BALLARD,1,0,1
Placer,160603,President,,,JESSE VENTURA / CYNTHIA MCKINNEY,0,0,0
Placer,160603,U.S. House,4,REP,TOM MCCLINTOCK,2154,328,1826
Placer,160603,U.S. House,4,DEM,BRYNNE S. KENNEDY,2297,145,2152
Placer,160603,State Assembly,6,DEM,JACKIE SMITH,2110,143,1967
Placer,160603,State Assembly,6,REP,KEVIN KILEY,2195,317,1878
Placer,160603,PLACER COUNTY BOARD OF EDUCATION GOVERNING BOARD MEMBER TRUSTEE AREA 1,,,RENE AGUILERA,1461,170,1291
