county,precinct,office,district,party,candidate,votes,absentee,early_votes,election_day
Orange,2001,Governor,,REP,JOHN H. COX,141,116,3,22
Orange,2001,Governor,,DEM,GAVIN NEWSOM,218,138,0,80
Orange,2002,Governor,,REP,JOHN H. COX,19,9,0,10
Orange,2002,Governor,,DEM,GAVIN NEWSOM,87,43,1,43
Orange,2008,Governor,,REP,JOHN H. COX,358,222,6,130
Orange,2008,Governor,,DEM,GAVIN NEWSOM,807,499,14,294
Orange,2009,Governor,,REP,JOHN H. COX,248,155,2,91
Orange,2009,Governor,,DEM,GAVIN NEWSOM,464,275,0,189
Orange,2011,Governor,,REP,JOHN H. COX,456,282,2,172
Orange,2011,Governor,,DEM,GAVIN NEWSOM,346,214,7,125
Orange,2012,Governor,,REP,JOHN H. COX,123,63,2,58
Orange,2012,Governor,,DEM,GAVIN NEWSOM,291,167,2,122
Orange,2015,Governor,,REP,JOHN H. COX,115,61,1,53
Orange,2015,Governor,,DEM,GAVIN NEWSOM,141,73,0,68
Orange,2016,Governor,,REP,JOHN H. COX,219,126,3,90
Orange,2016,Governor,,DEM,GAVIN NEWSOM,146,77,1,68
Orange,2017,Governor,,REP,JOHN H. COX,695,451,4,240
Orange,2017,Governor,,DEM,GAVIN NEWSOM,521,329,13,179
Orange,2023,Governor,,REP,JOHN H. COX,271,173,3,95
Orange,2023,Governor,,DEM,GAVIN NEWSOM,333,187,7,139
Orange,2024,Governor,,REP,JOHN H. COX,359,189,1,169
Orange,2024,Governor,,DEM,GAVIN NEWSOM,344,191,3,150
Orange,2030,Governor,,REP,JOHN H. COX,317,197,2,118
Orange,2030,Governor,,DEM,GAVIN NEWSOM,297,186,1,110
Orange,2033,Governor,,REP,JOHN H. COX,316,212,3,101
Orange,2033,Governor,,DEM,GAVIN NEWSOM,378,241,9,128
Orange,2034,Governor,,REP,JOHN H. COX,3,3,0,0
Orange,2034,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,2036,Governor,,REP,JOHN H. COX,344,193,3,148
Orange,2036,Governor,,DEM,GAVIN NEWSOM,190,117,7,66
Orange,2038,Governor,,REP,JOHN H. COX,539,356,2,181
Orange,2038,Governor,,DEM,GAVIN NEWSOM,169,99,5,65
Orange,2040,Governor,,REP,JOHN H. COX,438,228,1,209
Orange,2040,Governor,,DEM,GAVIN NEWSOM,252,129,5,118
Orange,2042,Governor,,REP,JOHN H. COX,654,389,9,256
Orange,2042,Governor,,DEM,GAVIN NEWSOM,645,376,7,262
Orange,2047,Governor,,REP,JOHN H. COX,959,601,6,352
Orange,2047,Governor,,DEM,GAVIN NEWSOM,612,407,12,193
Orange,2048,Governor,,REP,JOHN H. COX,761,451,6,304
Orange,2048,Governor,,DEM,GAVIN NEWSOM,603,372,7,224
Orange,2049,Governor,,REP,JOHN H. COX,313,205,1,107
Orange,2049,Governor,,DEM,GAVIN NEWSOM,218,107,4,107
Orange,2051,Governor,,REP,JOHN H. COX,900,636,10,254
Orange,2051,Governor,,DEM,GAVIN NEWSOM,566,386,5,175
Orange,2054,Governor,,REP,JOHN H. COX,525,337,10,178
Orange,2054,Governor,,DEM,GAVIN NEWSOM,687,448,11,228
Orange,2055,Governor,,REP,JOHN H. COX,220,125,6,89
Orange,2055,Governor,,DEM,GAVIN NEWSOM,459,272,9,178
Orange,2060,Governor,,REP,JOHN H. COX,298,174,1,123
Orange,2060,Governor,,DEM,GAVIN NEWSOM,164,97,1,66
Orange,2061,Governor,,REP,JOHN H. COX,0,0,0,0
Orange,2061,Governor,,DEM,GAVIN NEWSOM,1,1,0,0
Orange,2072,Governor,,REP,JOHN H. COX,709,440,12,257
Orange,2072,Governor,,DEM,GAVIN NEWSOM,562,370,9,183
Orange,2079,Governor,,REP,JOHN H. COX,1083,715,8,360
Orange,2079,Governor,,DEM,GAVIN NEWSOM,679,443,14,222
Orange,2081,Governor,,REP,JOHN H. COX,424,276,2,146
Orange,2081,Governor,,DEM,GAVIN NEWSOM,333,215,5,113
Orange,2082,Governor,,REP,JOHN H. COX,560,347,10,203
Orange,2082,Governor,,DEM,GAVIN NEWSOM,459,284,11,164
Orange,2088,Governor,,REP,JOHN H. COX,352,210,2,140
Orange,2088,Governor,,DEM,GAVIN NEWSOM,397,237,7,153
Orange,2095,Governor,,REP,JOHN H. COX,2,1,0,1
Orange,2095,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,2096,Governor,,REP,JOHN H. COX,0,0,0,0
Orange,2096,Governor,,DEM,GAVIN NEWSOM,0,0,0,0
Orange,2097,Governor,,REP,JOHN H. COX,0,0,0,0
